,tracts,population
400,843500,9364
401,842400,3034
402,835200,1787
403,841800,2578
404,691500,2010
405,241400,5122
406,240900,1152
407,420700,3375
408,150300,8095
409,190702,5006
410,440201,5213
411,837100,1857
412,283200,1505
413,151001,2358
414,836300,1463
415,301802,3253
416,843600,2678
417,838300,1527
418,710800,4606
419,838800,3543
420,260300,1639
421,231500,6990
422,351500,456
423,330100,18726
424,051200,1699
425,010300,6205
426,842500,2119
427,842100,7722
428,271200,1251
429,250800,2444
430,020901,5203
431,243100,2445
432,140500,4366
433,500200,2131
434,260100,1201
435,060200,2255
436,190401,3917
437,381800,1142
438,151002,4438
439,730201,6286
440,660900,4255
441,770902,3695
442,040402,4969
443,210602,3997
444,838000,2785
445,050100,2584
446,251400,4694
447,630800,7420
448,670800,1527
449,410200,1377
450,051100,1516
451,650400,6737
452,440102,3431
453,071600,1712
454,440600,1881
455,833300,2636
456,220702,3948
457,270500,1890
458,250700,5247
459,243000,2186
460,140400,7056
461,500100,3073
462,090200,6556
463,520300,5835
464,210502,4686
465,230100,1587
466,222500,1535
467,160501,4306
468,580502,5404
469,836100,1864
470,040201,6703
471,832500,3838
472,842200,2611
473,839500,1360
474,831600,7371
475,340400,2128
476,140800,6586
477,030702,1572
478,063100,2374
479,080201,3246
480,580600,5289
481,250600,4088
482,561100,5639
483,242900,1673
484,081100,3744
485,222700,2760
486,222200,2095
487,020200,6796
488,160502,4023
489,580501,5090
490,081401,2251
491,040202,7188
492,834200,4539
493,220701,3403
494,831500,3559
495,161300,3817
496,570200,1892
497,836000,2743
498,030900,3040
499,340500,1490
500,080300,4748
501,081403,7544
502,833100,7709
503,300700,4691
504,530503,5650
505,750200,3218
506,242800,1378
507,740200,6679
508,491300,2338
509,200300,2136
510,190100,2593
511,650200,7788
512,835500,1433
513,640300,6809
514,840700,3695
515,030104,3484
516,843900,3707
517,831100,8174
518,170700,3043
519,161200,2948
520,190601,4778
521,839100,6213
522,031502,4052
523,530501,4966
524,191100,7705
525,222800,1107
526,681400,2517
527,251100,4251
